Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
someone who knows if it can fit with iPhone plus	UgyC5H8X0tCv4z25wl94AaABAg	2018-10-05T17:36:53.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Eye tracking headset next Sony is ahead of the game	UgwrnYPtKbjVEZrEK2t4AaABAg	2018-09-22T02:20:51.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
I got the old gear vr and it doesnt work with my phone because i dont have a type c adaptor I am so sad	UgyC73GaYV-b9bCJA7Z4AaABAg	2018-09-04T15:20:35.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Does anyone know if you can connect two controllers at once	Ugy97GORckrkpJvxukF4AaABAg	2018-08-09T22:25:17.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
why the direction of the light changes always and I must make the remote position backward or at side or make the Bluetooth off and on again	UgxCipLbj_IdbZJirFh4AaABAg	2018-08-07T18:18:47.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Do you have to use a Samsung phone We have an iPhone s and we re wondering if it will work with that	Ugy2c3rQXPzw4lLy7ud4AaABAg	2018-08-05T13:13:59.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
can u use this with vr chat	Ugw93_sYmQ9CHt2tJ4t4AaABAg	2018-07-15T20:51:56.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Does it work with the s edge	Ugz7t9lCQbp2Ipg6rSd4AaABAg	2018-07-14T23:48:27.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
how do you start the console	UgywE1x-JjPfKw-QUVJ4AaABAg	2018-07-12T19:32:22.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Is it work with Note Fan Edition	UgxH0Wsa7UGn64mRmmN4AaABAg	2018-06-21T12:37:55.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
WHAT APP	UgwpWZvK-yfQ5mfckAF4AaABAg	2018-06-17T22:49:17.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Questions Last year I returned another brand VR equipment I was frustrated Except when watching my TV I wear glasses I couldn t find the right adjustment to go with my vision I m a bit farsighted with eye a bit nearsighted with the other Does this product give me enough control over that nd I m hearing impaired I use Bluetooth headsets to listen to all my devices Does this have a Bluetooth option	UgzeXDKagWuYASyBtol4AaABAg	2018-06-12T18:58:43.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Will it supports samsung galaxy c pro	UgxR7Ob_qBMVowYUbod4AaABAg	2018-06-08T09:23:18.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
All I care about is the gaming	Ugxna_vRskYJIFSdaKJ4AaABAg	2018-06-06T01:37:17.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Paul Dano	UgzOhNJgnUMwz0Zg-OZ4AaABAg	2018-05-20T21:30:44.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Why are his glasses so big Wait are his glasses big or his eyes small	UgyGCIcuj0S36eMHx4R4AaABAg	2018-05-11T19:31:06.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
RockBandRS I couldnt find it anywhere	UgyC73GaYV-b9bCJA7Z4AaABAg.8kmH_aAfFdu8mc5NcOIuhJ	2018-10-20T09:24:20.000Z	Reply	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Why not just buy an adapter	UgyC73GaYV-b9bCJA7Z4AaABAg.8kmH_aAfFdu8mbFUGpRm1G	2018-10-20T01:33:23.000Z	Reply	uyRqG7g5TmY	Samsung Gear VR with Controller Review
It s the lenses in his glasses It makes things look smaller through the front If you look closely you can see how the sides of his head get seemingly squeezed when looking through his glasses	UgyGCIcuj0S36eMHx4R4AaABAg.8g721zSS-Ir8mbG7QRjEug	2018-10-20T01:39:00.000Z	Reply	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Very informative thank you	UgweVCs2I7ZWpvyqw7p4AaABAg	2018-12-06T03:13:17.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
at you were wearing wired headphones with the gear vr where do they plug into actually where do wired headphones plug into the Go as well for that matter	UgwZT2KyNV2VOuVv3bp4AaABAg	2018-12-04T07:01:02.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
I found out that Oculus Go doesn t have Samsung Gallery app which is a GearVR exclusive Is there any equivalent app for viewing photos from a local network server	UgzvgS_gK2YN6T4cN894AaABAg	2018-11-28T22:43:18.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Will it work with the new Samsung galaxy note	Ugz7QK_9lolpMso5ijZ4AaABAg	2018-11-26T06:34:46.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
The apps in the oculus store and way too expensive to justify spending any money on the headsets either the headset needs to be cheaper or the apps need to be free is fine for a full PC game on oculus rift that you will get hours of use with but for a mobile app and budget VR experience it is unacceptable	UgwPTHCIWaKbP3NupGl4AaABAg	2018-11-23T10:33:46.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
I am so confused with all the VR options It takes forever to find the right ones for me I never thought that there are so many parameters that I have to check before deciding Is there any video online that explains everything about VR	Ugz74rKpueTq7ip6bh54AaABAg	2018-11-19T14:38:47.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
You forgot to mention you can only use the gear vr if you have a Samsung phone so in a way if you don t have a Samsung phone so the gear vr can cost you about dollars	Ugwu-lHFK06mAkLajGN4AaABAg	2018-11-18T15:40:36.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
I m buying the Oculus Go next week if there is a Black Friday discount	Ugx-CF7w0hborI7UXE94AaABAg	2018-11-15T06:15:27.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Can the Oculus Go be charged while using it	Ugxnt2DuE5yJdsbBAE94AaABAg	2018-11-12T20:48:55.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
I have the note with gb no worries about installing huge files is the gb go enough I know its a standalone device but I like installing my own videos and managing downloads via the phone rather than having to have the go on to manage everything any thoughts	Ugzsmur8jGn6UTHqmbR4AaABAg	2018-11-04T04:43:25.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Oculus go	Ugw6LqtnkJnJouzZ6G94AaABAg	2018-10-14T22:03:16.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Also hear VR is now like bucks on Amazon and in Walmart haha	Ugz36VLXPxeSFNfG7H54AaABAg	2018-10-10T05:38:58.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
No Skyrim vr no Fallout VR nor any other big VR game So why bother to even buy it For the crap they pile up in the occulus store	UgxCD2vlycUvti7XB_R4AaABAg	2018-10-08T11:24:48.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
seconds in I can already tell this guy does not think through what he says He implies that the gear vr is cheaper quoting a price for the gear vr and a price for the go but completely fails to mention the phone needed for the gear vr So either he is a dipshit or a fanboy	Ugwws-enwv7FzTnMn_14AaABAg	2018-10-02T19:49:10.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
On note is terrific Have a gb and lots of d movies	UgwWLUX7AxTuRq7ZGlF4AaABAg	2018-09-27T04:10:38.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Do I need a Samsung phone to use a gear vr does it have to be Samsung	Ugz2YmWXRJy1EJNYUOV4AaABAg	2018-09-26T02:36:05.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Great to read the comments here I know so little about the tech side of it but I m lovin my Gear VR The overheating has been the worst issue so far	UgySL6fTRIIiqWdtVSN4AaABAg	2018-09-18T23:16:02.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
watching tru a gb oculus go oof	UgykNERpjFeYGpVqjvV4AaABAg	2018-09-18T22:23:24.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Oculus Go comes with Snapdragon vs Gear VR useing note with it s Snapdragon gear vr runs better i think	UgxhJ0bXaHiqIpiRcV54AaABAg	2018-09-14T20:58:42.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
my note works great with the gear vr i had a gear vr they sent me the VR adapter three big differences between the Note and note that I noticed the note runs a lot cooler the phone doesn t get hot now the battery life is way better playing the VR with the note and all the VR games seem to run smoother with the new processor in the note so i am very happy with it	UgzXYFe1WAAG9NHIasd4AaABAg	2018-09-14T20:57:36.000Z	Comment	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
But you ll need to get the adapter for your note separately Call Samsung and place your order They ll mail it to you and it s free They ll need the model number and imei number too I just ordered mine yesterday	Ugz7QK_9lolpMso5ijZ4AaABAg.8o63O0fuOWh8oTBuml3vUe	2018-12-05T06:11:48.000Z	Reply	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Wait for the oculus quest its perfect comes in spring	Ugz74rKpueTq7ip6bh54AaABAg.8npuCxm3nkW8oQ1NRRPme2	2018-12-04T00:42:01.000Z	Reply	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
I can help you with that I use the gb version after full update you get gb left As I download about games depending on the size of the game your left with gb left while on the your left with gb left You can record your own gameplay by via on the smartphone CAST	Ugzsmur8jGn6UTHqmbR4AaABAg.8nDD9HkEJiy8nRp4Ya7Zua	2018-11-09T20:52:56.000Z	Reply	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
Yes phone require and phone samsung only that are the S series	Ugz2YmWXRJy1EJNYUOV4AaABAg.8ldZ_S-HGl28nS-msmMDZH	2018-11-09T22:35:14.000Z	Reply	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
